RESP,QE1,QB31,QH1,QH2,QI2D
1000327,1,4,2,2,5
1000329,12,4,,,
1000330,12,3,,,
1000333,1,3,2,2,5
1000334,1,1,1,,5
1000336,2,1,2,2,5
1000337,9,3,,,
1000339,10,3,,,
1000340,2,3,2,1,1
1000341,1,9,2,9,5
1000342,10,3,,,
1000343,1,1,1,,5
1000345,1,1,1,,5
1000346,12,9,,,
1000347,10,1,,,
1000349,12,9,,,
1000350,1,1,2,1,5
1000351,12,2,,,
1000352,1,1,1,,5
1000353,1,9,2,2,5
1000354,2,1,2,2,1
1000356,1,1,2,9,5
1000357,5,3,1,,
1000358,2,3,2,2,1
1000361,1,1,1,,1
1000364,6,3,2,,
1000366,1,3,2,2,5
1000368,994,1,,,
1000369,2,3,2,2,5
1000371,1,1,2,1,5
1000372,1,1,2,2,5
1000373,1,4,2,2,9
1000374,1,9,2,2,5
1000375,1,1,2,1,5
1000376,2,1,2,2,5
1000378,1,3,2,2,5
1000383,1,1,2,1,1
1000384,2,1,2,1,5
1000385,12,3,,,
1000386,1,3,1,,5
1000387,12,4,,,
1000389,2,4,2,2,5
1000390,1,1,2,1,5
1000391,2,1,1,,5
1000392,1,1,2,1,4
1000393,12,4,,,
1000394,1,3,9,,5
1000395,12,3,,,
1000398,9,4,,,
1000399,2,3,2,2,5
1000400,5,4,2,,
1000401,1,3,2,2,4
1000402,1,1,1,,5
1000403,12,2,,,
1000404,12,3,,,
1000405,1,2,2,2,5
1000406,6,1,1,,
1000407,2,3,2,1,9
1000408,2,3,2,2,5
1000409,1,9,2,2,5
1000410,1,3,2,2,5
1000411,1,1,9,,3
1000412,10,3,,,
1000414,2,9,1,,5
1000418,12,3,,,
1000420,1,4,2,2,5
1000421,1,4,2,2,1
1000424,10,3,,,
1000425,2,3,2,2,9
1000426,12,3,,,
1000427,1,1,2,1,5
1000428,2,2,2,2,5
1000429,9,3,,,
1000430,2,1,2,2,9
1000431,2,3,2,2,5
1000432,1,1,1,,5
1000435,2,1,1,,9
1000441,2,1,1,,5
1000442,1,1,1,,2
1000443,1,1,1,,5
1000446,2,1,2,2,5
1000447,7,9,2,,
1000449,1,9,2,2,3
1000452,1,1,2,8,8
1000454,1,1,1,,1
1000455,1,1,1,,5
1000456,1,1,1,,9
1000457,1,1,2,2,5
1000458,1,1,1,,1
1000459,1,2,2,2,5
1000460,1,1,2,2,9
1000461,1,4,2,8,8
1000462,10,2,,,
1000463,1,1,2,2,5
1000465,13,1,1,,5
1000466,2,3,2,2,1
1000467,5,3,3,,
1000468,10,3,,,
1000469,1,2,2,2,5
1000471,13,3,2,1,1
1000472,1,1,2,2,1
1000473,1,3,2,2,5
1000474,10,3,,,
1000475,12,3,,,
1000476,1,1,2,2,5
1000477,5,3,3,,
1000479,12,2,,,
1000480,1,1,1,,5
1000481,1,3,1,,5
1000482,1,3,2,1,5
1000484,12,9,,,
1000488,13,1,2,1,5
1000489,10,3,,,
1000490,2,2,2,2,5
1000493,2,3,2,2,5
1000494,9,3,,,
1000495,12,3,,,
1000496,12,4,,,
1000497,50,2,2,,
1000498,10,3,,,
1000499,1,3,2,1,5
1000500,1,1,1,,5
1000501,1,3,2,9,4
1000502,1,1,1,,1
1000503,12,2,,,
1000506,14,4,2,,
1000507,2,3,2,2,5
1000508,1,3,2,2,5
1000509,9,3,,,
1000510,2,2,1,,4
1000512,1,1,2,9,5
1000513,1,3,2,2,5
1000514,15,1,1,,5
1000517,2,3,2,2,5
1000518,10,2,,,
1000519,2,3,2,2,5
1000520,5,2,2,,
1000522,2,2,2,2,5
1000523,1,3,2,2,5
1000524,2,1,2,2,5
1000525,1,2,2,2,5
1000526,1,1,1,,9
1000527,1,9,3,,9
1000528,12,3,,,
1000529,1,1,2,2,5
1000530,8,3,2,,
1000532,12,1,,,
1000533,1,3,2,2,5
1000534,1,3,2,2,4
1000539,1,3,3,,5
1000540,2,2,2,2,5
1000542,12,2,,,
1000543,1,3,2,9,9
1000544,1,1,2,2,5
1000545,1,1,2,2,5
1000546,12,3,,,
1000547,10,4,,,
1000549,12,9,,,
1000550,24,2,2,2,3
1000551,1,1,1,,5
1000552,1,1,2,2,5
1000556,1,1,2,2,5
1000557,1,1,1,,1
1000559,1,1,2,2,5
1000561,1,3,2,2,5
1000562,1,9,1,,1
1000563,1,9,2,2,5
1000564,1,3,2,2,3
1000567,7,9,2,,
1000568,2,3,2,2,5
1000569,12,3,,,
1000570,1,1,2,2,4
1000572,1,9,1,,1
1000573,1,1,2,2,1
1000574,12,1,,,
1000575,1,3,2,2,5
1000576,1,1,2,2,5
1000577,12,3,,,
1000578,1,3,2,2,4
1000579,1,1,2,2,5
1000580,1,1,1,,1
1000581,2,3,2,2,5
1000584,1,3,1,,5
1000585,1,3,2,2,5
1000586,1,2,1,,5
1000587,1,2,2,2,5
1000588,12,3,,,
1000590,2,3,2,2,5
1000592,2,3,9,,5
1000593,10,9,,,
1000594,1,3,1,,5
1000596,2,1,2,1,5
1000597,12,4,,,
1000598,13,1,2,2,5
1000599,1,2,2,2,5
1000600,14,3,2,,
1000601,12,3,,,
1000603,1,3,2,2,5
1000604,1,1,1,,2
1000605,12,3,,,
1000606,1,3,3,,5
1000611,1,3,2,1,5
